sentences,dists
"At least 100 families receiving housing benefit living luxury homes handouts could fund # 1m mortgages , figures revealed .",-6.63052740918379 -7.265516111874736 -6.913763006152177 -5.679156289440347 -7.284260622623209 -5.864684696723488 -5.762613683027634 -7.287219996689913 -6.899740172840747 -6.640070330202054 -6.6478685596404095 -6.656991005770039 -7.274192923244797 -inf -7.286662027384979 -7.8165122972763506 -inf -6.442465951427288 -7.830660648043234 -inf
"More 30 families given staggering # 1,500 week live ` swanky ' lifestyles - three times national average wage .",-7.830457309882772 -7.835212219711822 -5.679156289440347 -7.260992762513748 -7.8653333425666485 -inf -7.278337920378998 -6.245445123484486 -5.870126533953174 -inf -6.90609629828731 -inf -7.256998832241974 -inf -6.876778813560727 -7.272115170862972 -6.905884234943745 -7.8403008248392725 -7.824332126252573 -inf
"Of 100 families , 60 rent paid state value # 5,000 month , according Department Work Pensions .",-7.872029012645258 -6.913763006152177 -5.679156289440347 -inf -7.286177129716957 -7.85073104521446 -7.817871889543208 -7.817155848353481 -7.262804171176108 -inf -6.438897183183623 -6.906570984724457 -inf -6.266253095897362 -7.8271430619341915 -7.2776009771940755 -7.856407380449644 -inf
"At time millions people struggling get housing ladder , handouts would easily cover monthly payments # 1m mortgage .",-6.63052740918379 -6.443461174803561 -7.839491281740809 -5.679732733946213 -7.792315425598695 -6.435174499951806 -5.864684696723488 -7.840738263750343 -inf -6.6478685596404095 -6.243383384491149 -7.289648148368692 -7.894393290489981 -7.869878992274925 -7.824408868670101 -inf -7.286662027384979 -7.837096132671991 -inf
"Luxury : The kind upmarket homes Kensington , west London , unemployed allowed live # 1,500 week housing benefit handouts -LRB- file picture -RRB-",-6.899740172840747 -inf -4.813336632402851 -7.29194831773109 -6.913627948627866 -6.640070330202054 -6.440691535014032 -inf -6.259984753815435 -6.2534826782082025 -inf -6.92132416923694 -6.651610102349727 -5.870126533953174 -inf -7.278337920378998 -6.245445123484486 -5.864684696723488 -5.762613683027634 -6.6478685596404095 -5.300198655388769 -7.851074583885475 -7.829170446949958 -5.304967795466348
"The trendy white house Notting Hill asylum seeker Abdi Nur rented housing benefit . Right , unemployed Somalian immigrant answers door pyjamas people would work",-4.813336632402851 -7.828458678988334 -7.8740571873887415 -6.42818097449347 -7.827350875468308 -7.875840592679953 -6.926948759552764 -7.861809630182964 -7.878721983406204 -7.270388351533617 -7.836064652367405 -5.864684696723488 -5.762613683027634 -inf -6.241333070359458 -inf -6.92132416923694 -6.892915646263023 -7.834866722114652 -7.865222002223975 -7.815052129513174 -7.806214597562377 -5.679732733946213 -6.243383384491149 -7.2776009771940755
Single mother Toorpakai Saiedi lives # 1.2 House Acton,-7.280286440075192 -7.8322936699808485 -7.279746379703273 -7.8822363735584355 -7.808823586037716 -inf -inf -6.42818097449347 -inf
"The handouts allowing families live upmarket parts London Kensington , Chelsea Westminster alongside wealthy neighbours Roman Abramovich George Michael .",-4.813336632402851 -6.6478685596404095 -7.8489806376457345 -5.679156289440347 -5.870126533953174 -6.913627948627866 -7.257207623940825 -6.2534826782082025 -6.440691535014032 -inf -7.2638576874820036 -6.912454238866976 -7.848341130958578 -7.815530574826868 -7.833838595515543 -7.847587715582863 -7.832401997371341 -7.853581610105077 -7.270429179720195 -inf
The figures criticised campaigners raised concerns Government 's plan cap housing benefit enforced .,-4.813336632402851 -6.442465951427288 -7.832236210392095 -7.2637162823596055 -7.8808165612231225 -7.8104479129722595 -6.894426796407224 -inf -7.7897821198233546 -6.645037763641099 -5.864684696723488 -5.762613683027634 -7.2709123043930575 -inf
"Ministers announced last year housing benefit , currently costs taxpayer # 22billion every year , capped # 400 per week .",-7.8458246181404006 -7.261771519384425 -6.619569024672159 -5.666895353014516 -5.864684696723488 -5.762613683027634 -inf -7.241532421465219 -7.275929436342025 -7.843392609363709 -inf -7.836190336855886 -6.438018403620374 -5.666895353014516 -inf -7.853604291266088 -inf -6.6352120879457965 -6.634115171848047 -6.245445123484486 -inf
"However , latest figures DWP show close 5,000 families still claiming # 400 cap . Although almost four every five people housing benefit pick less # 100 week .",-7.799396454252027 -inf -7.849709542767462 -6.442465951427288 -7.262978938196117 -6.106940549503581 -7.233422745759004 -6.438897183183623 -5.679156289440347 -6.911117673209033 -7.82559985030822 -inf -6.6352120879457965 -6.645037763641099 -inf -7.841881247438115 -7.268188839601507 -7.803640150096754 -6.438018403620374 -7.831334332194441 -5.679732733946213 -5.864684696723488 -5.762613683027634 -7.848914467458266 -7.249615158528854 -inf -6.913763006152177 -6.245445123484486 -inf
Public opinion riled cases immigrants asylum seekers allowed live lavish flats expense taxpayers .,-6.427435377734463 -7.292036649570858 -7.859950696355654 -7.823990521396504 -7.833157287932499 -6.926948759552764 -7.277831594694406 -6.651610102349727 -5.870126533953174 -7.844891463857929 -7.824196792625832 -7.870835185906499 -6.65369896942406 -inf
"In 2010 emerged family Somalian asylum seekers getting # 1.2 year live Kensington , West London - short walk Duke Duchess Cambridge 's new home Kensington Palace .",-6.911192920341772 -7.277103352499513 -7.852497544037289 -6.116357811943369 -6.892915646263023 -6.926948759552764 -7.277831594694406 -6.901045632728675 -inf -inf -5.666895353014516 -5.870126533953174 -6.440691535014032 -inf -6.259984753815435 -6.2534826782082025 -inf -7.275216921445444 -7.837219807369294 -7.836440502927661 -7.8679156822607395 -7.901400127057346 -inf -6.648736598192305 -6.439640954782587 -6.440691535014032 -7.849804955183785 -inf
